time,open,high,low,close
1658908800,21335,21431.6,21102.5,21193.2
1658923200,21193.2,21531.8,21151.9,21516.4
1658937600,21516.5,23100,21431,22763.8
1658952000,22763.8,22996.2,22570.7,22941.1
1658966400,22941.1,23480,22691,23126.7
1658980800,23126.8,23260,22880,22916.9
1658995200,22916.4,23150.9,22809.8,23106
1659009600,23106,23999.6,22583.1,23739.4
1659024000,23739.4,24094.5,23661.7,23790.4
1659038400,23790.4,24194.6,23720,23836.2
1659052800,23836.2,23947.8,23700,23905.8
1659067200,23905.6,24500,23818.2,23938
1659081600,23938,24135,23548,23717.2
1659096000,23717.2,24220,23426.3,24003
1659110400,24003,24038,23600,23889.9
1659124800,23891.2,24129.9,23691.1,23771.1
1659139200,23771,23965,23667.8,23800.7
1659153600,23800.7,23900,23621.8,23869.8
1659168000,23869.8,24073,23726,23956.3
1659182400,23956.4,24700,23911,24522.8
1659196800,24522.8,24585,23841.6,23915
1659211200,23914.9,24065.9,23505,23629.9
1659225600,23630,23890,23511.3,23732.5
1659240000,23732.5,23838.4,23656.2,23704.9
1659254400,23704.9,23850,23555,23788.4
1659268800,23788.4,23856.4,23598.4,23764.2
1659283200,23764.2,24187.3,23340,23832.8
1659297600,23832.8,23887,23222,23290.1
1659312000,23290.1,23458.3,23251,23366.3
1659326400,23366.2,23408.7,23100,23313.4
1659340800,23313.3,23376,22933.5,23216.2
1659355200,23216.2,23497,22955,23315.1
1659369600,23315.1,23339,22836.2,22944.9
1659384000,22945,23407,22900,23257.6
1659398400,23257.6,23436.3,22777,22845.3
1659412800,22845.3,22923,22700,22875.5
1659427200,22875.5,22965.6,22603,22872
1659441600,22872,23140,22657,22962.9
1659456000,22962.8,23448.7,22846.3,22935.6
1659470400,22935.7,23141.1,22897.3,22975.1
1659484800,22975.1,23057,22665.3,22852.9
1659499200,22852.9,23065.3,22793,22979.5
1659513600,22979.6,23471.8,22979.2,23390.9
1659528000,23391,23650,23200,23346
1659542400,23345.9,23566.7,23246,23449.1
1659556800,23450.2,23475.9,22707,22801.5
1659571200,22801.5,23211.3,22780.8,23083.7
1659585600,23083.7,23175.6,22810,22935
1659600000,22934.9,22946.7,22750,22872.3
1659614400,22872.3,23133,22728.5,22914.3
1659628800,22914.2,22966,22370,22439.1
1659643200,22439.1,22658,22435,22608.9
1659657600,22608.9,23188.6,22580.6,23158.5
1659672000,23158.5,23430.3,23055,23176.9
1659686400,23176.9,23436.5,23087,23393
1659700800,23393.1,23450,22867.8,22979.1
1659715200,22979.1,23098.6,22746.9,22922.7
1659729600,22922.6,23318.8,22831.6,23298.1
1659744000,23298,23341.8,23140.8,23161.8
1659758400,23161.8,23230,23130.8,23196.5
1659772800,23196.4,23249.6,23083.2,23148.1
1659787200,23148.2,23227.4,23146.1,23191.2
1659801600,23191.2,23250,22975,23175.1
1659816000,23175.1,23215.8,22883.6,22943.3
1659830400,22943.2,23034.6,22830.9,22979.7
1659844800,22979.8,23015.7,22930,23000
1659859200,23000,23043.8,22878.1,23026.1
1659873600,23026.2,23180,23000,23012.1
1659888000,23012.2,23328,22984,23154.9
1659902400,23155,23400,23042.2,23167.8
1659916800,23167.9,23341,23153.1,23294.5
1659931200,23294.5,23848,23267.7,23796.8
1659945600,23796.8,24180,23757.4,24160
1659960000,24159.9,24243,23880,23986.9
1659974400,23986.8,24003.5,23775.2,23918.7
1659988800,23918.9,24097.5,23666,23804.4
1660003200,23804.3,23859.9,23617.6,23819
1660017600,23819,23913.4,23744.5,23866.2
1660032000,23866.2,23878.1,23165,23257.8
1660046400,23257.7,23323.1,22850,23061.7
1660060800,23061.6,23121.1,22963,23048.3
1660075200,23048.3,23248,23042.1,23140.2
1660089600,23140.1,23140.2,22608,22850.2
1660104000,22850.2,22997,22819.9,22951.2
1660118400,22951.2,23190,22951.2,23108.3
1660132800,23108.3,24179,22993.7,23983.6
1660147200,23983.6,24079,23454,23626.3
1660161600,23626.3,24235.2,23612,23940.9
1660176000,23941,24480.7,23907.6,24313.7
1660190400,24313.6,24760,24277.1,24429.5
1660204800,24429.4,24668,24344.6,24547.3
1660219200,24547.2,24972,24261.8,24336.6
1660233600,24336.4,24413.7,24069.7,24213.7
1660248000,24214.2,24325,23840.6,23917.2
1660262400,23917.3,24088,23750,23997.7
1660276800,23997.7,24053,23864.8,23949.2
1660291200,23949.2,24149.5,23560,23663.2
1660305600,23663.2,23995,23642.4,23966.7
1660320000,23966.7,24260,23938.5,24162
1660334400,24162,24438.8,24031,24387.5
1660348800,24387.5,24800,24319.3,24786.4
1660363200,24786.5,24879,24540.8,24566.1
1660377600,24566.1,24647.7,24267.5,24426
1660392000,24425.9,24592.8,24282,24501.8
1660406400,24501.8,24584.5,24321.6,24389.2
1660420800,24389.2,24536.4,24309.7,24429
1660435200,24429,24632.6,24332.1,24554.3
1660449600,24554.3,25065,24484.4,24867.1
1660464000,24867.2,24872.6,24511,24554.2
1660478400,24554.3,24579.5,24379.3,24512.1
1660492800,24512,24548.8,24138,24273.8
1660507200,24273.9,24420,24162,24294.1
1660521600,24294.1,25200,24150,24856.1
1660536000,24856.2,24975.7,23916.7,24010.8
1660550400,24010.7,24296.8,23860.2,24037.1
1660564800,24037.2,24246.3,23890.1,24211.8
1660579200,24211.8,24272.2,23951,23972.2
1660593600,23972.2,24178.7,23762,24085.2
1660608000,24085.2,24234,23843.8,24072.7
1660622400,24072.6,24134,23788,24054.1
1660636800,24054.4,24138,23954.6,24027.1
